ad_set,ad,version,ratio,placement,status,file,url
AS_A5_medical,A5_medical-v4,Designer set 2,1:1,"Right column, Search, Marketplace",upload,S5_medical_v4_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_1x1.jpg
AS_A5_medical,A5_medical-v4,Designer set 2,4:5,Feeds + Stories/Reels (default),upload,S5_medical_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_4x5.jpg
AS_A5_medical,A5_medical-v4,Designer set 2,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S5_medical_v4_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S5_medical_v4_9x16.jpg
AS_A5_medical,A5_medical-video,Video,4:5,Feeds + Stories/Reels (default),upload,V5_medical_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V5_medical_4x5.mp4
AS_A5_medical,A5_medical-video,Video,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,V5_medical_9x16.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V5_medical_9x16.mp4
AS_A6_in-writing,A6_in-writing-v3,Designer set 1,16:9,—,not used by Meta,S6_in-writing_v3_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_16x9.jpg
AS_A6_in-writing,A6_in-writing-v3,Designer set 1,1:1,"Right column, Search, Marketplace",upload,S6_in-writing_v3_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_1x1.jpg
AS_A6_in-writing,A6_in-writing-v3,Designer set 1,4:5,Feeds + Stories/Reels (default),upload,S6_in-writing_v3_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_4x5.jpg
AS_A6_in-writing,A6_in-writing-v3,Designer set 1,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S6_in-writing_v3_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v3/S6_in-writing_v3_9x16.jpg
AS_A6_in-writing,A6_in-writing-light,Light style,16:9,—,not used by Meta,S6_in-writing_light_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_16x9.jpg
AS_A6_in-writing,A6_in-writing-light,Light style,1:1,"Right column, Search, Marketplace",upload,S6_in-writing_light_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_1x1.jpg
AS_A6_in-writing,A6_in-writing-light,Light style,4:5,Feeds + Stories/Reels (default),upload,S6_in-writing_light_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_4x5.jpg
AS_A6_in-writing,A6_in-writing-light,Light style,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S6_in-writing_light_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/light/S6_in-writing_light_9x16.jpg
AS_A6_in-writing,A6_in-writing-v4,Designer set 2,16:9,—,not used by Meta,S6_in-writing_v4_16x9.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_16x9.jpg
AS_A6_in-writing,A6_in-writing-v4,Designer set 2,1:1,"Right column, Search, Marketplace",upload,S6_in-writing_v4_1x1.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_1x1.jpg
AS_A6_in-writing,A6_in-writing-v4,Designer set 2,4:5,Feeds + Stories/Reels (default),upload,S6_in-writing_v4_4x5.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_4x5.jpg
AS_A6_in-writing,A6_in-writing-v4,Designer set 2,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,S6_in-writing_v4_9x16.jpg,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/static/v4/S6_in-writing_v4_9x16.jpg
AS_A6_in-writing,A6_in-writing-video,Video,4:5,Feeds + Stories/Reels (default),upload,V4_in-writing_4x5.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V4_in-writing_4x5.mp4
AS_A6_in-writing,A6_in-writing-video,Video,9:16,Stories/Reels — after safe-zone fix,hold — disclaimer in Stories/Reels unsafe zone,V4_in-writing_9x16.mp4,https://2-human.github.io/credo-public-meta-ads-preview/handoff/meta-competitive-v1/creatives/video/V4_in-writing_9x16.mp4
